,id,loglin,param,value
377,51,log,Nmax,-0.5963962849229859
378,51,log,rmax,0.24896475373955337
379,51,log,tlag,0.5523777184961487
380,51,lin,N0,0.0105996159862718
381,51,lin,Nmax,0.253281643202068
382,51,lin,rmax,0.3494412533296404
383,51,lin,tlag,0
384,52,log,N0,-2.27488326728988
385,52,log,Nmax,-0.50762135933638
386,52,log,rmax,0.3851772074574783
387,52,log,tlag,0
388,52,lin,N0,0.00531027158246111
389,52,lin,Nmax,0.31072674859657107
390,52,lin,rmax,0.3974862080430606
391,52,lin,tlag,0
392,53,log,N0,-1.7980473571809599
393,53,log,Nmax,-0.70326047812004
394,53,log,rmax,0.2747178186384482
395,53,log,tlag,0
396,53,lin,N0,0.0159203511580579
397,53,lin,Nmax,0.19803389156582396
398,53,lin,rmax,0.43309921854707173
399,53,lin,tlag,0
400,54,log,N0,-2.27488326728988
401,54,log,Nmax,-0.387448905985386
402,54,log,rmax,0.5302018740607309
403,54,log,tlag,0
404,54,lin,N0,0.00531027158246111
405,54,lin,Nmax,0.409780316942121
406,54,lin,rmax,0.5823414460993859
407,54,lin,tlag,0
408,55,log,N0,-1.73008980491341
409,55,log,Nmax,-0.6020599913279621
410,55,log,rmax,0.26408191488428256
411,55,log,tlag,0.7869759840303074
412,55,lin,N0,0.0186170212765955
413,55,lin,Nmax,0.25
414,55,lin,rmax,0.37946318502847076
415,55,lin,tlag,0
416,56,log,N0,-1.73008980491341
417,56,log,Nmax,-0.246808241488924
418,56,log,rmax,0.2727551627131135
419,56,log,tlag,1.1010520522981502
420,56,lin,N0,0.0186170212765955
421,56,lin,Nmax,0.566489361702127
422,56,lin,rmax,0.3403727209953776
423,56,lin,tlag,0
424,57,log,N0,-1.39909658587198
425,57,log,Nmax,-0.0237378469547858
426,57,log,rmax,0.5611032636230487
427,57,log,tlag,0.5481629820728584
428,57,lin,N0,0.0398936170212769
429,57,lin,Nmax,0.946808510638298
430,57,lin,rmax,0.8095961466021849
431,57,lin,tlag,0
432,58,log,N0,-1.7300898049134
433,58,log,Nmax,-0.0980665902079986
434,58,log,rmax,0.5155438511667789
435,58,log,tlag,2.267440668593095
436,58,lin,N0,0.0186170212765959
437,58,lin,Nmax,0.797872340425532
438,58,lin,rmax,0.4635014883251721
439,58,lin,tlag,0
440,59,log,N0,-2.57518784492774
441,59,log,Nmax,-0.148676583563086
442,59,log,rmax,0.12823015361499618
443,59,log,tlag,10.697029041300778
444,59,lin,N0,0.0026595744680846197
445,59,lin,Nmax,0.7101063829787231
446,59,lin,rmax,0.08124619718187448
447,59,lin,tlag,0
448,60,log,N0,-1.9731278535997
449,60,log,Nmax,-0.163568138964431
450,60,log,rmax,0.45312509946152923
451,60,log,tlag,2.0705240889810006
452,60,lin,N0,0.0106382978723403
453,60,lin,Nmax,0.686170212765957
454,60,lin,rmax,0.2612093156316598
455,60,lin,tlag,0
456,61,log,N0,-1.67325136321385
457,61,log,Nmax,-0.0948987217034878
458,61,log,rmax,0.38887835318880976
459,61,log,tlag,1.3946702063853564
460,61,lin,N0,0.0212201591511936
461,61,lin,Nmax,0.8037135278514591
462,61,lin,rmax,0.41645306309110625
463,61,lin,tlag,0
464,62,log,N0,-1.9742813588778
465,62,log,Nmax,-0.843947590382821
466,62,log,rmax,0.3176021657260405
467,62,log,tlag,0
468,62,lin,N0,0.0106100795755975
