"","id","bet.AICc","bet.AIC","bet.BIC","bet.rsq"
"412",534,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"413",535,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"414",536,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"415",537,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"416",538,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"417",539,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"418",540,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"419",541,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"420",542,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"421",543,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"422",547,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"423",548,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"424",549,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"425",550,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"426",551,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"427",552,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"428",553,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"429",554,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"430",555,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"431",556,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"432",557,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"433",558,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"434",559,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"435",560,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"436",561,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"437",562,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"438",563,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"439",564,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"440",565,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"441",566,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"442",567,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"443",568,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"444",569,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"445",570,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"446",571,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"447",572,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"448",573,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"449",574,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"450",575,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"451",576,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"452",577,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"453",578,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"454",579,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"455",580,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"456",581,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"457",582,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"458",583,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"459",584,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"460",585,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"461",586,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"462",587,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"463",588,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"464",589,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"465",590,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"466",591,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"467",592,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"468",593,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"469",594,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"470",595,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"471",596,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"472",597,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"473",598,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"474",599,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"475",600,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
