"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"15206",390,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15207",420,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15208",450,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15209",480,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15210",510,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15211",540,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15212",570,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15213",600,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15214",630,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15215",660,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15216",690,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15217",720,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15218",750,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15219",780,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15220",810,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15221",840,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
