,ID,loglin,param,value
201,26,log,Nmax,-0.0998150036514635
202,26,log,rmax,0.08365751792811098
203,26,log,tlag,0
204,26,lin,N0,0.0106666666666668
205,26,lin,Nmax,0.794666666666667
206,26,lin,rmax,0.1342445367161547
207,26,lin,tlag,3.2514969469148154
208,27,log,N0,-2.27300127206373
209,27,log,Nmax,-0.761117911084862
210,27,log,rmax,0.03387269433891952
211,27,log,tlag,0
212,27,lin,N0,0.00533333333333341
213,27,lin,Nmax,0.17333333333333403
214,27,lin,rmax,0.053636185997144564
215,27,lin,tlag,0
216,28,log,N0,-2.09557474836851
217,28,log,Nmax,-0.162948376186391
218,28,log,rmax,0.09316788217534082
219,28,log,tlag,0
220,28,lin,N0,0.00802463433410305
221,28,lin,Nmax,0.6871501154734411
222,28,lin,rmax,0.12803104074408603
223,28,lin,tlag,0
224,29,log,N0,-2.267024648175
225,29,log,Nmax,-0.5231061491077
226,29,log,rmax,0.06540554823979203
227,29,log,tlag,0
228,29,lin,N0,0.00540723633564255
229,29,lin,Nmax,0.299842956120092
230,29,lin,rmax,0.12137860581023631
231,29,lin,tlag,3.2054575375921264
232,30,log,N0,-2.0942435765005403
233,30,log,Nmax,-0.542860787124135
234,30,log,rmax,0.057651068668853535
235,30,log,tlag,0
236,30,lin,N0,0.00804926866820632
237,30,lin,Nmax,0.286509622786759
238,30,lin,rmax,0.10758894942795481
239,30,lin,tlag,0
240,31,log,N0,-2.09557474836851
241,31,log,Nmax,-0.605731700063293
242,31,log,rmax,0.03723547401146371
243,31,log,tlag,0
244,31,lin,N0,0.00802463433410305
245,31,lin,Nmax,0.24789530408006102
246,31,lin,rmax,0.07423857498108005
247,31,lin,tlag,0
248,32,log,N0,-2.56215915310018
249,32,log,Nmax,-0.6447657675151041
250,32,log,rmax,0.36953014877386187
251,32,log,tlag,0
252,32,lin,N0,0.00274056966897596
253,32,lin,Nmax,0.226586605080831
254,32,lin,rmax,0.4748971468058902
255,32,lin,tlag,1.1821683776798337
256,33,log,N0,-2.27817778319948
257,33,log,Nmax,-0.586640873202232
258,33,log,rmax,0.05837338183711606
259,33,log,tlag,0
260,33,lin,N0,0.00527014078278176
261,33,lin,Nmax,0.259035404535515
262,33,lin,rmax,0.09534813867775548
263,33,lin,tlag,0
264,34,log,N0,-2.58123719602319
265,34,log,Nmax,-0.484302773706776
266,34,log,rmax,0.05147777506723676
267,34,log,tlag,0
268,34,lin,N0,0.00262278568094132
269,34,lin,Nmax,0.327866637183362
270,34,lin,rmax,0.07031184379730586
271,34,lin,tlag,0
272,35,log,N0,-2.27615780522344
273,35,log,Nmax,-0.0683067204327198
274,35,log,rmax,0.9763575455514473
275,35,log,tlag,0
276,35,lin,N0,0.00529471020368089
277,35,lin,Nmax,0.8544630353062579
278,35,lin,rmax,0.7321004329309669
279,35,lin,tlag,0
280,36,log,N0,-1.53524583932982
281,36,log,Nmax,-0.139786744219367
282,36,log,rmax,0.11177050023534296
283,36,log,tlag,4.372684238239802
284,36,lin,N0,0.0291577602515911
285,36,lin,Nmax,0.724791774157884
286,36,lin,rmax,0.24483080826768727
287,36,lin,tlag,4.344576976822327
288,37,log,N0,-2.5792077788634304
289,37,log,Nmax,-0.196062245836041
290,37,log,rmax,0.0833235370210237
291,37,log,tlag,0
292,37,lin,N0,0.0026350703913911
293,37,lin,Nmax,0.6367042578806421
294,37,lin,rmax,0.09137223780138311
295,37,lin,tlag,5.850400098538475
296,38,log,N0,-2.58123719602319
297,38,log,Nmax,-0.19404332743391298
298,38,log,rmax,0.11454754737995046
299,38,log,tlag,0
300,38,lin,N0,0.00262278568094132
301,38,lin,Nmax,0.6396710154541669
302,38,lin,rmax,0.14927345715785545
303,38,lin,tlag,4.796641109236925
304,39,log,N0,-2.57403126772784
305,39,log,Nmax,-0.123231220421322
306,39,log,rmax,0.10009853668102417
307,39,log,tlag,0
308,39,lin,N0,0.00266666666666593
309,39,lin,Nmax,0.752954580446496
310,39,lin,rmax,0.13199784891532956
311,39,lin,tlag,1.9289715715205407
312,40,log,N0,-2.27350305661632
313,40,log,Nmax,-0.7529248745849519
314,40,log,rmax,0.03744851462097402
315,40,log,tlag,0
316,40,lin,N0,0.00532717474980693
317,40,lin,Nmax,0.176634334103155
318,40,lin,rmax,0.06904943009713017
319,40,lin,tlag,0
320,41,log,N0,-2.27350305661632
321,41,log,Nmax,-0.642787201533015
322,41,log,rmax,0.053370631574455284
323,41,log,tlag,1.2772934301832026
324,41,lin,N0,0.00532717474980693
325,41,lin,Nmax,0.22762124711316395
326,41,lin,rmax,0.06881723472574618
327,41,lin,tlag,0.11205161355672294
328,42,log,N0,-1.79571288458011
329,42,log,Nmax,-0.11109751978811999
330,42,log,rmax,0.3877018979612823
331,42,log,tlag,0
332,42,lin,N0,0.0160061585835245
333,42,lin,Nmax,0.7742879137798299
334,42,lin,rmax,0.5645632568554354
335,42,lin,tlag,0
336,43,log,N0,-2.57403126772777
337,43,log,Nmax,-0.655170745650499
338,43,log,rmax,0.04677817307807653
339,43,log,tlag,0
340,43,lin,N0,0.00266666666666637
341,43,lin,Nmax,0.22122247882986804
342,43,lin,rmax,0.06427135122449786
343,43,lin,tlag,4.350116330002289
344,44,log,N0,-1.7958800173441
345,44,log,Nmax,-0.257179960825342
346,44,log,rmax,0.060662300677527876
347,44,log,tlag,0
348,44,lin,N0,0.0159999999999991
349,44,lin,Nmax,0.553120862201693
350,44,lin,rmax,0.1037026716479291
351,44,lin,tlag,0
352,45,log,N0,-2.098066590208
353,45,log,Nmax,-0.45461391372181104
354,45,log,rmax,0.22213269119628384
355,45,log,tlag,1.7949329360811561
356,45,lin,N0,0.00797872340425521
357,45,lin,Nmax,0.351063829787234
358,45,lin,rmax,0.16421626714532236
359,45,lin,tlag,0.36794983496604794
360,46,log,N0,-1.53379515976944
361,46,log,Nmax,-0.0213048182837867
362,46,log,rmax,0.0541069387256892
363,46,log,tlag,0
364,46,lin,N0,0.0292553191489362
365,46,lin,Nmax,0.952127659574468
366,46,lin,rmax,0.09326587214507531
367,46,lin,tlag,0.1313734943545258
368,47,log,N0,-1.9731278535997
369,47,log,Nmax,-0.1249387366083
370,47,log,rmax,0.16330221360955618
371,47,log,tlag,1.8992225744029907
372,47,lin,N0,0.0106382978723405
373,47,lin,Nmax,0.75
374,47,lin,rmax,0.17266166499892857
375,47,lin,tlag,1.3174661212203376
376,48,log,N0,-2.27415784926369
377,48,log,Nmax,-0.0673319732318303
378,48,log,rmax,0.19875373936882987
379,48,log,tlag,0.41016879754896435
380,48,lin,N0,0.00531914893617014
381,48,lin,Nmax,0.8563829787234041
382,48,lin,rmax,0.19480146781121035
383,48,lin,tlag,1.5065232671253752
384,49,log,N0,-2.27415784926369
385,49,log,Nmax,-0.541764089440711
386,49,log,rmax,0.22215982797260983
387,49,log,tlag,1.6494077581038353
388,49,lin,N0,0.00531914893617014
389,49,lin,Nmax,0.287234042553192
390,49,lin,rmax,0.2980007074816876
391,49,lin,tlag,1.044426665389403
392,50,log,N0,-1.79847572593037
393,50,log,Nmax,-0.0985154029743564
394,50,log,rmax,0.35973315821862967
395,50,log,tlag,0.4867415683338941
396,50,lin,N0,0.0159046557740703
397,50,lin,Nmax,0.797048221451405
398,50,lin,rmax,0.48727242320522013
399,50,lin,tlag,0.01602665002940498
400,51,log,N0,-1.97470986851487
401,51,log,Nmax,-0.5963962849229859
402,51,log,rmax,0.24896475373955337
403,51,log,tlag,0.5523777184961487
404,51,lin,N0,0.0105996159862718
405,51,lin,Nmax,0.253281643202068
406,51,lin,rmax,0.3494412533296404
407,51,lin,tlag,0
408,52,log,N0,-2.27488326728988
409,52,log,Nmax,-0.50762135933638
410,52,log,rmax,0.3851772074574783
